display  D   display_settings.c:227  _al_score_display_settings       [  -0.01999] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01997] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01995] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01993] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01991] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01988] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01985] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01983] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01981] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01979] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01976] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01974] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01972] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01970] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01968] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01966] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01963] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01961] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01959] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01957] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01955] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01953] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01950] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01948] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01946] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01944] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01941] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01939] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01937] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01935] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01933] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01931] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01928] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01926] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01924] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01922] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01920] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01918] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01915] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01913] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01911] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01909] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01906] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01904] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01902] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01900] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
